accession;organism;description;basepairs;date;country;plasmid_name;plasmid_type;inc_type;transposon;beta-lactamases;beta-lactamases_range;kpc_type;kpc_start;kpc_end;integronfinder
CP026188.1;Enterobacteriaceae bacterium;ENNIH2 plasmid pKPC-ddab, complete sequence;84045;29-JAN-2018;USA;pKPC-ddab;102;IncL/M;[Tn3] ;KPC-2 SHV-12 TEM-181 OXA-9 ;[KPC-2: 11744 - 12625] [SHV-12: 13991 - 14851] [TEM-181: 25342 - 26202] [OXA-9: 23818 - 24642] ;KPC-2;11744;12625;[integron_01: 22295 - 25159] [integron_02: 26544 - 27194] 
CP026194.1;Enterobacteriaceae bacterium;ENNIH1 plasmid pKPC-825d, complete sequence;80259;29-JAN-2018;USA;pKPC-825d;102;IncL/M;[Tn3] ;KPC-2 SHV-12 TEM-181 ;[KPC-2: 14191 - 15072] [SHV-12: 7974 - 8834] [TEM-181: 23675 - 24535] ;KPC-2;14191;15072;[integron_01: 24877 - 25527] 
CP026198.1;Enterobacteriaceae bacterium;ENNIH3 plasmid pKPC-c606, complete sequence;177191;29-JAN-2018;USA;pKPC-c606;32;IncN;[unknown] ;KPC-2 ;[KPC-2: 71603 - 72484] ;KPC-2;71603;72484;[integron_01: 125440 - 127533] 
CP026204.1;Escherichia coli;strain ECONIH5 plasmid pKPC-bca9, complete sequence;77593;29-JAN-2018;USA;pKPC-bca9;109;unknown;[unknown] ;KPC-2 ;[KPC-2: 51874 - 52755] ;KPC-2;51874;52755; No Integron found
CP026205.1;Escherichia coli;strain ECONIH5 plasmid pKPC-e3ee, complete sequence;78887;29-JAN-2018;USA;pKPC-e3ee;106;IncN3;[unknown] ;KPC-2 ;[KPC-2: 70247 - 71128] ;KPC-2;70247;71128; No Integron found
CP026210.1;Citrobacter sp.;CFNIH10 plasmid pKPC-2fe2, complete sequence;78694;06-FEB-2018;USA;pKPC-2fe2;107;IncL/M;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 44856 - 45737] [TEM-181: 35682 - 36542] [OXA-9: 37242 - 38066] ;KPC-2;44856;45737;[integron_01: 34690 - 35340] [integron_02: 36725 - 39589] 
CP026213.1;Citrobacter sp.;CFNIH10 plasmid pKPC-933d, complete sequence;225133;06-FEB-2018;USA;pKPC-933d;18;unknown;[Tn21] ;KPC-2 ;[KPC-2: 158187 - 159068] ;KPC-2;158187;159068;[integron_01: 144705 - 146834] 
CP026219.1;Aeromonas sp.;ASNIH4 plasmid pKPC-ac48, complete sequence;35803;06-FEB-2018;USA;pKPC-ac48;142;unknown;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 10176 - 11057] [TEM-40: 11279 - 11848] ;KPC-2;10176;11057; No Integron found
CP026224.1;Aeromonas sp.;ASNIH3 plasmid pKPC-cd17, complete sequence;39708;29-JAN-2018;USA;pKPC-cd17;139;IncP;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 10422 - 11303] [TEM-40: 9631 - 10200] ;KPC-2;10422;11303; No Integron found
CP026225.1;Aeromonas sp.;ASNIH3 plasmid pKPC-8e09, complete sequence;181187;29-JAN-2018;USA;pKPC-8e09;29;IncA/C2;[Tn21] ;FOX-5 KPC-2 CARB-2 ;[FOX-5: 37084 - 38232] [KPC-2: 149376 - 150257] [CARB-2: 132078 - 132944] ;KPC-2;149376;150257;[integron_01: 130859 - 138645] 
CP026227.1;Aeromonas sp.;ASNIH7 plasmid pKPC-1ac6, complete sequence;52335;29-JAN-2018;USA;pKPC-1ac6;133;IncU;[unknown] ;KPC-2 ;[KPC-2: 10522 - 11403] ;KPC-2;10522;11403;[integron_01: 5279 - 7900] 
CP026230.1;Aeromonas sp.;ASNIH1 plasmid pKPC-038c, complete sequence;78678;06-FEB-2018;USA;pKPC-038c;108;unknown;[unknown] ;KPC-2 OXA-2 OXA-32 ;[KPC-2: 70006 - 70887] [OXA-2: 26519 - 27346] [OXA-32: 14357 - 15184] ;KPC-2;70006;70887;[integron_01: 12915 - 15184] [integron_02: 24245 - 27829] 
CP026232.1;Citrobacter freundii;complex sp. CFNIH4 plasmid pKPC-c9fd, complete sequence;63485;06-FEB-2018;USA;pKPC-c9fd;16;IncN3;[unknown] ;KPC-2 ;[KPC-2: 21134 - 22015] ;KPC-2;21134;22015; No Integron found
CP026236.1;Citrobacter freundii;complex sp. CFNIH3 plasmid pKPC-59e4, complete sequence;66224;29-JAN-2018;USA;pKPC-59e4;122;IncN;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 18143 - 19024] [TEM-181: 5232 - 6092] [OXA-9: 6792 - 7616] ;KPC-2;18143;19024;[integron_01: 6275 - 9139] 
CP026239.1;Citrobacter freundii;complex sp. CFNIH9 plasmid pKPC-9d88, complete sequence;54399;29-JAN-2018;USA;pKPC-9d88;64;unknown;[Tn3] ;KPC-2 KPC-2 TEM-1 ;[KPC-2: 26736 - 27617] [KPC-2: 45124 - 46005] [TEM-1: 36620 - 37480] ;KPC-2;26736;27617; No Integron found
CP026272.1;Klebsiella oxytoca;strain KONIH4 plasmid pKPC-f607, complete sequence;146113;30-JAN-2018;USA;pKPC-f607;53;unknown;[Tn21] [Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 38995 - 39876] [TEM-181: 26084 - 26944] [OXA-9: 27644 - 28468] ;KPC-2;38995;39876;[integron_01: 27127 - 29991] 
CP026274.1;Klebsiella oxytoca;strain KONIH4 plasmid pKPC-4b66, complete sequence;239022;30-JAN-2018;USA;pKPC-4b66;16;IncN;[unknown] ;KPC-2 KPC-2 ;[KPC-2: 116039 - 116920] [KPC-2: 202839 - 203720] ;KPC-2;116039;116920;[integron_01: 226736 - 228865] 
CP026277.1;Klebsiella oxytoca;strain KONIH5 plasmid pKPC-8bc0, complete sequence;57370;30-JAN-2018;USA;pKPC-8bc0;16;IncN;[unknown] ;KPC-2 ;[KPC-2: 34181 - 35062] ;KPC-2;34181;35062;[integron_01: 7781 - 9874] 
CP026280.1;Klebsiella oxytoca;strain KONIH2 plasmid pKPC-55bf, complete sequence;154214;30-JAN-2018;USA;pKPC-55bf;42;unknown;[unknown] ;KPC-2 ;[KPC-2: 106499 - 107380] ;KPC-2;106499;107380; No Integron found
CP026385.1;Serratia sp.;SSNIH1 plasmid pKPC-56ce, complete sequence;84044;04-FEB-2018;USA;pKPC-56ce;102;IncL/M;[Tn3] ;KPC-2 SHV-12 TEM-181 OXA-9 ;[KPC-2: 58039 - 58920] [SHV-12: 60286 - 61146] [TEM-181: 71637 - 72497] [OXA-9: 70113 - 70937] ;KPC-2;58039;58920;[integron_01: 68590 - 71454] [integron_02: 72839 - 73489] 
CP026389.1;Leclercia sp.;LSNIH3 plasmid pKPC-3714, complete sequence;51053;04-FEB-2018;USA;pKPC-3714;10;IncN;[unknown] ;KPC-2 ;[KPC-2: 14701 - 15582] ;KPC-2;14701;15582;[integron_01: 39889 - 41982] 
CP026394.1;Klebsiella pneumoniae;strain KPNIH48 plasmid pKPC-e937, complete sequence;64636;04-FEB-2018;USA;pKPC-e937;123;IncFII;[unknown] ;KPC-2 ;[KPC-2: 8852 - 9733] ;KPC-2;8852;9733; No Integron found
CP026395.1;Klebsiella pneumoniae;strain KPNIH48 plasmid pKPC-edb7, complete sequence;81795;04-FEB-2018;USA;pKPC-edb7;102;IncL/M;[Tn3] ;KPC-2 SHV-12 TEM-90 ;[KPC-2: 23636 - 24517] [SHV-12: 19072 - 19932] [TEM-90: 12278 - 13138] ;KPC-2;23636;24517;[integron_01: 11286 - 11936] 
CP026401.1;Escherichia coli;strain ECONIH4 plasmid pKPC-b33e, complete sequence;20535;04-FEB-2018;USA;pKPC-b33e;148;unknown;[unknown] ;KPC-2 ;[KPC-2: 5205 - 6086] ;KPC-2;5205;6086; No Integron found
CP026418.1;Acinetobacter sp.;ACNIH2 plasmid pKPC-8dee, complete sequence;44556;04-FEB-2018;USA;pKPC-8dee;140;unknown;[Tn21] ;KPC-2 GES-7 ;[KPC-2: 26567 - 27448] [GES-7: 36018 - 36881] ;KPC-2;26567;27448;[integron_01: 36018 - 42899] 
CP026584.1;Klebsiella pneumoniae;strain WCHKP649 plasmid pKPC2_095649, complete sequence;158329;19-MAR-2018;China;pKPC2_095649;26;unknown;[Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 6418 - 7299] [CTX-M-65: 10406 - 11281] [TEM-1: 18231 - 19091] ;KPC-2;6418;7299; No Integron found
CP026589.1;Klebsiella pneumoniae;strain NUHL30457 plasmid p3, complete sequence;90522;12-FEB-2018;China;p3;26;unknown;[Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 52375 - 53256] [CTX-M-65: 6220 - 7095] [TEM-1: 16140 - 17000] ;KPC-2;52375;53256; No Integron found
CP027067.1;Klebsiella pneumoniae;strain WCHKP8F4 plasmid pKPC2_095084, complete sequence;121790;19-MAR-2018;China;pKPC2_095084;26;unknown;[Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 51739 - 52620] [CTX-M-65: 5660 - 6535] [TEM-1: 15580 - 16440] ;KPC-2;51739;52620; No Integron found
CP027143.1;Enterobacter cloacae;complex 'Hoffmann cluster III' strain AR_0365 plasmid unnamed3;52692;31-MAY-2018;unknown;unnamed3;64;unknown;[unknown] ;KPC-2 ;[KPC-2: 19045 - 19926] ;KPC-2;19045;19926; No Integron found
CP027150.1;Klebsiella pneumoniae;strain AR_0363 plasmid unnamed3;66623;31-MAY-2018;unknown;unnamed3;98;unknown;[Tn3] ;KPC-2 ;[KPC-2: 58766 - 59647] ;KPC-2;58766;59647;[integron_01: 13742 - 14731] [integron_02: 33372 - 40709] 
CP027158.1;Klebsiella pneumoniae;strain AR_0361 plasmid unnamed2, complete sequence;115263;31-MAY-2018;unknown;unnamed2;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 39316 - 40197] [TEM-181: 27270 - 28130] [OXA-9: 28830 - 29654] ;KPC-2;39316;40197;[integron_01: 4758 - 4837] 
CP027168.1;Pseudomonas aeruginosa;strain AR_0356 plasmid unnamed1, complete sequence;57869;31-MAY-2018;unknown;unnamed1;126;unknown;[unknown] ;KPC-2 ;[KPC-2: 44025 - 44906] ;KPC-2;44025;44906; No Integron found
CP027606.1;Enterobacter cloacae;strain AR_0093 plasmid unnamed2, complete sequence;88269;19-MAR-2018;unknown;unnamed2;97;IncFIA;[Tn3] ;KPC-6 TEM-181 OXA-1 ;[KPC-6: 71657 - 72538] [TEM-181: 78255 - 79115] [OXA-1: 55341 - 56171] ;KPC-6;71657;72538;[integron_01: 35326 - 38015] [integron_02: 53568 - 58048] 
CP027616.1;Klebsiella pneumoniae;subsp. ozaenae strain AR_0096 plasmid unnamed4, complete sequence;131842;19-MAR-2018;unknown;unnamed4;49;IncFIA;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 73751 - 74632] [TEM-181: 60908 - 61768] [OXA-9: 62468 - 63292] ;KPC-3;73751;74632;[integron_01: 45507 - 47516] [integron_02: 61951 - 64815] 
CP028181.1;Klebsiella pneumoniae;strain CFSAN054110 plasmid pGMI16-005_01, complete sequence;231224;02-APR-2018;Denmark;pGMI16-005_01;17;IncFIB;[Tn21] [Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 94109 - 94990] [TEM-181: 82063 - 82923] [OXA-9: 83623 - 84447] ;KPC-3;94109;94990;[integron_01: 30306 - 33671] 
CP028389.2;Klebsiella pneumoniae;strain WCHKP13F2 plasmid pKPC2_095132, complete sequence;168406;02-MAY-2018;China;pKPC2_095132;36;IncQ1;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 62717 - 63598] [TEM-40: 62053 - 62622] ;KPC-2;62717;63598;[integron_01: 46023 - 50527] 
CP028541.1;Klebsiella pneumoniae;strain WCHKP2 plasmid pKPC2_020002, complete sequence;180045;17-APR-2018;China;pKPC2_020002;26;unknown;[Tn3] ;KPC-2 KPC-2 KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 84675 - 85556] [KPC-2: 79929 - 80810] [KPC-2: 75183 - 76064] [CTX-M-65: 5660 - 6535] [TEM-1: 15580 - 16440] ;KPC-2;84675;85556; No Integron found
CP028547.1;Klebsiella pneumoniae;subsp. pneumoniae strain SCKP020143 plasmid pKPC2_020143, complete sequence;74846;17-APR-2018;China;pKPC2_020143;112;unknown;[Tn3] ;KPC-2 SHV-12 TEM-1 ;[KPC-2: 23747 - 24628] [SHV-12: 32616 - 33476] [TEM-1: 9961 - 10821] ;KPC-2;23747;24628; No Integron found
CP028554.1;Klebsiella variicola;strain WCHKP19 plasmid pKPC2_020019, complete sequence;91020;17-APR-2018;China;pKPC2_020019;94;unknown;[Tn1721] [Tn3] ;KPC-2 TEM-40 ;[KPC-2: 78892 - 79773] [TEM-40: 78228 - 78797] ;KPC-2;78892;79773; No Integron found
CP028566.1;Aeromonas hydrophila;subsp. hydrophila strain WCHAH045096 plasmid pKPC2_045096, complete sequence;39533;17-APR-2018;China;pKPC2_045096;139;IncP;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 22118 - 22999] [TEM-40: 23221 - 23790] ;KPC-2;22118;22999; No Integron found
CP028582.1;Klebsiella pneumoniae;strain WCHKP36 plasmid pKPC2_020036, complete sequence;151391;17-APR-2018;China;pKPC2_020036;46;unknown;[Tn3] ;KPC-2 CTX-M-65 ;[KPC-2: 102286 - 103167] [CTX-M-65: 5660 - 6535] ;KPC-2;102286;103167;[integron_01: 10539 - 15043] 
CP028790.1;Klebsiella pneumoniae;strain WCHKP020030 plasmid pKPC2_020030, complete sequence;106308;18-APR-2018;China;pKPC2_020030;26;unknown;[Tn3] ;KPC-2 CTX-M-65 TEM-1 ;[KPC-2: 51135 - 52016] [CTX-M-65: 5660 - 6535] [TEM-1: 15580 - 16440] ;KPC-2;51135;52016; No Integron found
CP028796.1;Klebsiella pneumoniae;strain WCHKP040035 plasmid pKPC2_040035, complete sequence;114074;18-APR-2018;China;pKPC2_040035;66;unknown;[Tn1721] [Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 52510 - 53391] [CTX-M-65: 5660 - 6535] [SHV-12: 46849 - 47709] [TEM-1: 13485 - 14345] ;KPC-2;52510;53391; No Integron found
CP028805.1;Klebsiella pneumoniae;strain WCHKP7E2 plasmid pKPC2_085072, complete sequence;132900;18-APR-2018;China;pKPC2_085072;62;unknown;[Tn3] ;KPC-2 ;[KPC-2: 125015 - 125896] ;KPC-2;125015;125896; No Integron found
CP028958.1;Morganella morganii;strain AR_0133 plasmid unnamed2, complete sequence;72323;25-APR-2018;unknown;unnamed2;113;IncN;[unknown] ;KPC-2 KPC-2 ;[KPC-2: 50696 - 51577] [KPC-2: 54181 - 55062] ;KPC-2;50696;51577;[integron_01: 15120 - 17213] 
CP029092.1;Pseudomonas aeruginosa;strain AR441 plasmid unnamed2, complete sequence;57868;31-MAY-2018;unknown;unnamed2;126;unknown;[unknown] ;KPC-2 ;[KPC-2: 15530 - 16411] ;KPC-2;15530;16411; No Integron found
CP029102.1;Klebsiella pneumoniae;strain AR438 plasmid unnamed4, complete sequence;137593;31-MAY-2018;unknown;unnamed4;60;IncFIB;[Tn3] ;KPC-3 KPC-3 TEM-181 TEM-181 OXA-9 OXA-9 ;[KPC-3: 63723 - 64604] [KPC-3: 96381 - 97262] [TEM-181: 51678 - 52538] [TEM-181: 108447 - 109307] [OXA-9: 53238 - 54062] [OXA-9: 106923 - 107747] ;KPC-3;63723;64604;[integron_01: 29166 - 29245] 
CP029219.1;Klebsiella pneumoniae;strain L201 plasmid pKPC-L201;130577;10-MAY-2018;China;pKPC-L201;65;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 43762 - 44643] [TEM-1: 92938 - 93798] ;KPC-2;43762;44643; No Integron found
CP029225.1;Klebsiella pneumoniae;strain L388 plasmid pKPC-L388;147935;10-MAY-2018;China;pKPC-L388;26;unknown;[Tn1721] [Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 85356 - 86237] [CTX-M-65: 5660 - 6535] [SHV-12: 76508 - 77368] [TEM-1: 13485 - 14345] ;KPC-2;85356;86237; No Integron found
CP029230.1;Klebsiella pneumoniae;strain L491 plasmid pKPC-L491;253098;10-MAY-2018;China;pKPC-L491;11;unknown;[Tn3] ;KPC-2 CTX-M-9 TEM-1 ;[KPC-2: 167430 - 168311] [CTX-M-9: 101523 - 102398] [TEM-1: 1625 - 2485] ;KPC-2;167430;168311;[integron_01: 95537 - 98417] 
CP029381.1;Klebsiella pneumoniae;subsp. pneumoniae strain SCKP020079 plasmid pKPC2_020079, complete sequence;148887;21-MAY-2018;China;pKPC2_020079;48;unknown;[Tn1721] [Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 82063 - 82944] [CTX-M-65: 5660 - 6535] [SHV-12: 90932 - 91792] [TEM-1: 13485 - 14345] ;KPC-2;82063;82944; No Integron found
CP029429.1;Klebsiella quasipneumoniae;strain CAV2018 plasmid pKPC_CAV2018-63, complete sequence;64139;22-MAY-2018;USA;pKPC_CAV2018-63;117;IncU;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 22247 - 23128] [TEM-181: 46752 - 47612] [OXA-9: 45228 - 46052] ;KPC-2;22247;23128;[integron_01: 15471 - 18401] [integron_02: 36645 - 38317] [integron_03: 41756 - 46569] 
CP029431.1;Klebsiella quasipneumoniae;strain CAV2018 plasmid pKPC_CAV2018-435, complete sequence;441342;22-MAY-2018;USA;pKPC_CAV2018-435;3;unknown;[Tn21] ;KPC-2 ;[KPC-2: 65884 - 66765] ;KPC-2;65884;66765;[integron_01: 56871 - 59000] [integron_02: 87597 - 88748] 
CP029436.1;Klebsiella quasipneumoniae;strain CAV2013 plasmid pKPC_CAV2013, complete sequence;453483;22-MAY-2018;USA;pKPC_CAV2013;1;unknown;[Tn21] ;KPC-3 ;[KPC-3: 393152 - 394033] ;KPC-3;393152;394033;[integron_01: 384063 - 386192] [integron_02: 414865 - 417061] 
CP029438.1;Klebsiella quasipneumoniae;strain CAV1947 plasmid pKPC_CAV1947-14, complete sequence;14308;22-MAY-2018;USA;pKPC_CAV1947-14;16;unknown;[unknown] ;KPC-3 ;[KPC-3: 4106 - 4987] ;KPC-3;4106;4987; No Integron found
CP029439.1;Klebsiella quasipneumoniae;strain CAV1947 plasmid pKPC_CAV1947-56, complete sequence;56689;22-MAY-2018;USA;pKPC_CAV1947-56;117;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 OXA-9 ;[KPC-2: 33092 - 33973] [TEM-181: 15953 - 16813] [OXA-9: 20560 - 21384] [OXA-9: 17513 - 18337] ;KPC-2;33092;33973;[integron_01: 16996 - 24503] [integron_02: 37819 - 40749] 
CP029442.1;Klebsiella quasipneumoniae;strain CAV1947 plasmid pKPC_CAV1947-412, complete sequence;418274;22-MAY-2018;USA;pKPC_CAV1947-412;1;unknown;[Tn21] ;KPC-3 ;[KPC-3: 37911 - 38792] ;KPC-3;37911;38792;[integron_01: 59624 - 61820] 
CP029446.1;Serratia marcescens;strain CAV1761 plasmid pKPC_CAV1761, complete sequence;70146;22-MAY-2018;USA;pKPC_CAV1761;117;IncU;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 44693 - 45574] [TEM-181: 14286 - 15146] [OXA-9: 15846 - 16670] ;KPC-2;44693;45574;[integron_01: 15329 - 18193] [integron_02: 49420 - 52350] 
DQ523564.1;Klebsiella pneumoniae;strain KPN2303 plasmid pBC-Wilma putative transposition helper protein gene, partial cds and;4735;14-JUL-2016;Colombia;pBC-Wilma;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 1143 - 2024] ;KPC-2;1143;2024; No Integron found
DQ897687.1;Klebsiella pneumoniae;plasmid pYW1 putative transposase and class A carbapenemase (blaKPC-2) genes, complete cds;2129;14-JUL-2016;China;pYW1;2;unknown;[unknown] ;KPC-2 ;[KPC-2: 1169 - 2050] ;KPC-2;1169;2050; No Integron found
DQ989639.1;Escherichia coli;strain 2138 plasmid putative transposition helper protein, class A carbapenemase KPC-2, and;3450;14-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 951 - 1832] ;KPC-2;951;1832; No Integron found
EF062508.1;Citrobacter freundii;plasmid carbapenem-hydrolyzing beta-lactamase KPC-2 (blaKPC-2) gene, complete cds;993;14-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 1 - 882] ;KPC-2;1;882; No Integron found
EU176011.1;Klebsiella pneumoniae;strain YC plasmid pNYC, partial sequence;14275;26-JUL-2016;unknown;pNYC;16;unknown;[unknown] ;KPC-2 ;[KPC-2: 11156 - 12037] ;KPC-2;11156;12037; No Integron found
EU176012.1;Klebsiella pneumoniae;strain KN633 plasmid pBC633, partial sequence;11016;26-JUL-2016;unknown;pBC633;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 7848 - 8729] ;KPC-2;7848;8729; No Integron found
EU176013.1;Pseudomonas aeruginosa;strain Pa2404 plasmid pCOL1, partial sequence;11136;26-JUL-2016;unknown;pCOL1;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 7848 - 8729] ;KPC-2;7848;8729; No Integron found
EU176014.1;Klebsiella pneumoniae;plasmid pBC2303a, partial sequence;11055;26-JUL-2016;unknown;pBC2303a;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 7848 - 8729] ;KPC-2;7848;8729; No Integron found
EU594576.1;Klebsiella pneumoniae;plasmid carbapenem-hydrolyzing beta-lactamase KPC-2 (blaKPC-2) gene, partial cds;962;26-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-30 ;[KPC-30: 100 - 948] ;KPC-30;100;948; No Integron found
FJ223605.1;Klebsiella pneumoniae;strain 12 plasmid 12, complete sequence;76698;26-JUL-2016;unknown;12;111;IncN;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 44590 - 45471] [TEM-181: 28982 - 29842] [OXA-9: 30542 - 31366] ;KPC-3;44590;45471;[integron_01: 1718 - 3811] [integron_02: 30025 - 32889] 
FJ223606.1;Klebsiella pneumoniae;strain 15 plasmid 15S, complete sequence;24093;26-JUL-2016;unknown;15S;16;unknown;[Tn3] ;KPC-2 ;[KPC-2: 18495 - 19376] ;KPC-2;18495;19376;[integron_01: 2845 - 3789] 
FJ223607.1;Klebsiella pneumoniae;strain 9 plasmid 9, complete sequence;71665;26-JUL-2016;unknown;9;68;IncN;[unknown] ;KPC-2 KPC-2 ;[KPC-2: 8079 - 8960] [KPC-2: 18039 - 18920] ;KPC-2;8079;8960; No Integron found
FJ609231.1;Escherichia coli;plasmid PHS1075 putative transposase, truncated beta-lactamase (bla), and class A carbapenemase (blaKPC-3);3905;24-JUL-2016;unknown;PHS1075;2;unknown;[unknown] ;KPC-3 TEM-40 ;[KPC-3: 1928 - 2809] [TEM-40: 1137 - 1706] ;KPC-3;1928;2809; No Integron found
FJ628167.2;Klebsiella pneumoniae;strain KP048 plasmid pKP048, complete sequence;153348;25-JUL-2016;unknown;pKP048;45;unknown;[Tn3] ;DHA-1 KPC-2 ;[DHA-1: 45661 - 46800] [KPC-2: 19578 - 20459] ;KPC-2;19578;20459; No Integron found
FJ853623.1;Klebsiella pneumoniae;strain Irish-1 plasmid class A carbapenemase KPC-2 (blaKPC-2) gene, partial cds;917;24-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-30 ;[KPC-30: 1 - 831] ;KPC-30;1;831; No Integron found
GU386376.1;Klebsiella pneumoniae;strain 09138475RyC plasmid pRYCKPC3.1 transposon blaKPC-3-Tn4401a, partial sequence;9944;31-MAR-2017;unknown;pRYCKPC3.1;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 7063 - 7944] ;KPC-3;7063;7944; No Integron found
GU595196.1;Klebsiella pneumoniae;plasmid pKpQIL, complete sequence;115261;25-JUL-2016;unknown;pKpQIL;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-3;15984;16865;[integron_01: 51344 - 51423] 
HG969995.1;Klebsiella pneumoniae;plasmid pIT-01C03, complete sequence;115266;07-JUN-2016;unknown;pIT-01C03;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-2;15984;16865;[integron_01: 51344 - 51423] 
HG969996.1;Klebsiella pneumoniae;plasmid pIT-12C47, complete sequence;99587;07-JUN-2016;unknown;pIT-12C47;89;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 52601 - 53461] [OXA-9: 54161 - 54985] ;KPC-2;15984;16865; No Integron found
HG969997.1;Klebsiella pneumoniae;plasmid pIT-01C22, complete sequence;115805;07-JUN-2016;unknown;pIT-01C22;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 15984 - 16865] [TEM-181: 27385 - 28245] [OXA-9: 25861 - 26685] ;KPC-3;15984;16865;[integron_01: 50678 - 50757] 
HG969998.1;Klebsiella pneumoniae;plasmid pIT-11C07, complete sequence;104638;07-JUN-2016;unknown;pIT-11C07;60;IncFIB;[unknown] ;KPC-3 ;[KPC-3: 15984 - 16865] ;KPC-3;15984;16865;[integron_01: 38118 - 38197] 
HG969999.1;Klebsiella pneumoniae;plasmid pIT-FIPP-1, complete sequence;79350;07-JUN-2016;unknown;pIT-FIPP-1;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 8943 - 9824] [TEM-181: 21010 - 21870] [OXA-9: 19486 - 20310] ;KPC-3;8943;9824;[integron_01: 44303 - 44382] 
HM066995.1;Klebsiella pneumoniae;plasmid pKp10-26 beta-lactamase KPC-11 (blaKPC) gene, blaKPC-11 allele, complete cds;895;25-JUL-2016;unknown;pKp10-26;1;unknown;[unknown] ;KPC-11 ;[KPC-11: 1 - 882] ;KPC-11;1;882; No Integron found
HQ246157.1;Citrobacter freundii;strain 10-13147 plasmid carbapenem-hydrolyzing beta-lactamase KPC-2 gene, partial cds;801;25-JUL-2016;unknown;unknown;1;unknown;[unknown] ;KPC-30 ;[KPC-30: 1 - 789] ;KPC-30;1;789; No Integron found
HQ342889.1;Enterobacter cloacae;strain EN038 plasmid EcKPC12 carbapenem-hydrolyzing beta-lactamase KPC-13 (blaKPC-13) gene, complete cds;895;25-JUL-2016;unknown;EcKPC12;1;unknown;[unknown] ;KPC-13 ;[KPC-13: 1 - 882] ;KPC-13;1;882; No Integron found
HQ589350.1;Klebsiella pneumoniae;strain p39SLMT plasmid pSLMT, complete sequence;21440;25-JUL-2016;unknown;pSLMT;16;unknown;[unknown] ;KPC-2 ;[KPC-2: 12705 - 13586] ;KPC-2;12705;13586; No Integron found
HQ651092.1;Klebsiella oxytoca;plasmid pFP10-1 replication protein gene, partial cds hypothetical protein (pKP048_08), antirestriction protein;7064;25-JUL-2016;unknown;pFP10-1;2;unknown;[unknown] ;KPC-2 TEM-40 ;[KPC-2: 3842 - 4723] [TEM-40: 4945 - 5514] ;KPC-2;3842;4723; No Integron found
JF922884.1;Pseudomonas putida;strain PP36 plasmid class A carbapenemase (blaKPC-2) gene, partial cds;767;25-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-30 ;[KPC-30: 1 - 756] ;KPC-30;1;756; No Integron found
